userId,movieId,rating,timestamp
383,21,3,789652009
383,47,5,789652009
383,1079,3,789652009
409,16,4,828212412
409,21,5,828212412
409,25,4,828212412
409,30,5,828212412
409,32,3,828212412
409,35,4,828212412
409,85,5,828212412
409,1,5,828212413
409,150,4,828213114
409,417,4,828213114
409,592,3,828213114
409,47,5,828213115
409,50,4,828213115
409,110,4,828213115
409,153,3,828213115
409,154,4,828213115
409,165,2,828213115
409,204,4,828213115
409,223,4,828213115
409,231,4,828213115
409,235,4,828213115
409,264,5,828213115
409,265,5,828213115
409,268,4,828213115
409,272,5,828213115
409,280,5,828213115
409,290,5,828213115
409,292,2,828213115
409,296,5,828213115
409,306,5,828213115
409,307,5,828213115
409,308,5,828213115
409,309,5,828213115
409,318,5,828213115
409,319,5,828213115
409,331,4,828213115
409,348,5,828213115
409,380,3,828213115
409,431,4,828213115
409,590,4,828213115
409,673,5,828213115
224,1,4,828213150
224,2,4,828213150
224,6,5,828213150
224,16,5,828213150
224,17,5,828213150
224,21,4,828213150
224,25,4,828213150
224,28,5,828213150
224,32,5,828213150
224,35,4,828213150
224,43,4,828213150
224,52,4,828213150
224,58,3,828213150
224,85,4,828213150
224,95,3,828213150
224,100,4,828213150
224,103,4,828213150
224,494,4,828213150
224,608,5,828213150
224,640,3,828213150
409,232,5,828213511
224,34,5,828214011
224,110,5,828214011
224,149,5,828214011
224,150,5,828214011
224,153,4,828214011
224,154,4,828214011
224,158,5,828214011
224,162,5,828214011
224,213,5,828214011
224,223,5,828214011
224,344,4,828214011
224,347,5,828214011
224,348,5,828214011
224,410,4,828214011
224,427,3,828214011
224,435,3,828214011
224,588,5,828214011
224,47,4,828214012
224,50,4,828214012
224,151,4,828214012
224,165,4,828214012
224,173,4,828214012
224,175,5,828214012
224,193,4,828214012
224,232,4,828214012
224,233,5,828214012
224,235,5,828214012
224,242,4,828214012
224,247,4,828214012
224,249,4,828214012
224,253,4,828214012
224,260,4,828214012
224,265,4,828214012
224,272,4,828214012
224,288,5,828214012
224,296,5,828214012
224,299,4,828214012
224,302,4,828214012
224,305,4,828214012
224,306,4,828214012
224,307,4,828214012
224,308,4,828214012
224,314,4,828214012
224,329,4,828214012
224,334,3,828214012
224,335,4,828214012
224,337,4,828214012
224,339,4,828214012
224,380,4,828214012
224,452,4,828214012
224,468,4,828214012
224,553,5,828214012
224,555,4,828214012
224,698,3,828214012
224,30,4,828786667
511,11,4,829351964
511,16,5,829351964
511,21,5,829351964
511,25,4,829351964
511,36,5,829351964
511,58,5,829351964
511,94,4,829351964
511,100,5,829351964
511,111,5,829351964
511,125,3,829351964
511,608,5,829351964
511,720,5,829351964
511,31,4,829352433
511,50,5,829352433
511,150,4,829352433
511,193,1,829352433
511,223,4,829352433
511,231,3,829352433
511,235,3,829352433
511,237,4,829352433
511,246,5,829352433
511,280,5,829352433
511,282,4,829352433
511,288,3,829352433
511,293,4,829352433
511,296,5,829352433
511,300,5,829352433
511,318,5,829352433
511,337,4,829352433
511,342,5,829352433
511,590,5,829352433
536,19,2,829471719
536,23,4,829471719
536,34,5,829471719
536,110,5,829471719
536,122,3,829471719
536,144,5,829471719
536,150,5,829471719
536,153,4,829471719
536,154,2,829471719
536,158,4,829471719
536,216,3,829471719
536,222,5,829471719
536,223,5,829471719
536,344,5,829471719
536,349,4,829471719
536,416,3,829471719
536,420,3,829471719
536,427,4,829471719
536,431,4,829471719
536,432,2,829471719
536,588,5,829471719
536,592,3,829471719
536,595,5,829471719
536,22,5,829471720
536,39,5,829471720
536,57,5,829471720
536,60,4,829471720
536,132,3,829471720
536,159,5,829471720
536,160,3,829471720
536,161,5,829471720
536,163,5,829471720
536,165,5,829471720
536,224,5,829471720
536,225,4,829471720
536,230,5,829471720
536,231,4,829471720
536,233,5,829471720
536,234,3,829471720
536,235,5,829471720
536,236,4,829471720
536,237,4,829471720
536,241,5,829471720
536,246,5,829471720
536,248,2,829471720
536,250,4,829471720
536,252,2,829471720
536,253,4,829471720
536,256,2,829471720
536,257,4,829471720
536,259,4,829471720
536,260,5,829471720
536,261,5,829471720
536,266,3,829471720
536,351,4,829471720
536,352,3,829471720
536,434,4,829471720
536,435,2,829471720
536,444,1,829471720
536,468,2,829471720
536,590,5,829471720
536,47,4,829471721
536,177,5,829471721
536,178,5,829471721
536,180,4,829471721
536,181,1,829471721
536,185,4,829471721
536,186,3,829471721
536,188,2,829471721
536,270,4,829471721
536,273,3,829471721
536,276,3,829471721
536,277,5,829471721
536,278,3,829471721
536,281,4,829471721
536,288,2,829471721
536,289,3,829471721
536,291,3,829471721
536,293,4,829471721
536,294,4,829471721
536,295,3,829471721
536,296,5,829471721
536,300,4,829471721
536,303,3,829471721
536,305,3,829471721
536,317,4,829471721
536,318,5,829471721
536,319,3,829471721
536,50,5,829471722
536,193,3,829471722
536,194,4,829471722
536,195,4,829471722
536,196,4,829471722
536,198,5,829471722
536,204,4,829471722
536,206,4,829471722
536,315,4,829471722
536,316,4,829471722
536,333,4,829471722
536,337,5,829471722
536,339,4,829471722
536,340,3,829471722
536,380,4,829471722
536,381,4,829471722
536,452,5,829471722
536,553,5,829471722
536,554,3,829471722
536,555,5,829471722
536,45,3,829471925
389,5,4,829491839
389,74,4,829491839
389,95,5,829491839
389,135,4,829491839
389,2,4,829491840
389,10,4,829491840
389,62,4,829491840
389,19,1,829492315
389,23,2,829492315
389,54,4,829492315
389,110,5,829492315
389,150,4,829492315
389,153,3,829492315
389,344,2,829492315
389,349,4,829492315
389,432,3,829492315
389,434,5,829492315
389,588,4,829492315
389,595,4,829492315
389,151,4,829492316
389,160,3,829492316
389,161,4,829492316
389,163,1,829492316
389,168,4,829492316
389,172,3,829492316
389,173,2,829492316
389,204,3,829492316
389,207,4,829492316
389,208,4,829492316
389,225,2,829492316
389,231,1,829492316
389,236,3,829492316
389,237,3,829492316
389,238,3,829492316
389,248,4,829492316
389,252,4,829492316
389,253,2,829492316
389,256,3,829492316
389,274,3,829492316
389,276,3,829492316
389,292,4,829492316
389,316,4,829492316
389,318,5,829492316
389,333,5,829492316
389,339,3,829492316
389,380,5,829492316
389,381,2,829492316
