tmdbId,title,Ri,vi,genres,WR
278,The Shawshank Redemption,4.487138263665595,311,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",4.449255349072993
238,The Godfather,4.4875,200,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",4.429853207040607
629,The Usual Suspects,4.370646766169155,201,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",4.320367911680606
240,The Godfather: Part II,4.385185185185185,135,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",4.311207656078713
424,Schindler's List,4.30327868852459,244,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",4.264819973150387
963,The Maltese Falcon,4.387096774193548,62,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",4.240783107995326
488,The African Queen,4.42,50,"[{'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",4.2390275095182455
680,Pulp Fiction,4.256172839506172,324,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",4.228660929079078
829,Chinatown,4.3355263157894735,76,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",4.219761046063477
567,Rear Window,4.315217391304348,92,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",4.219606981901423
275,Fargo,4.256696428571429,224,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",4.217547397044934
705,All About Eve,4.434210526315789,38,"[{'id': 18, 'name': 'Drama'}]",4.207033982346068
510,One Flew Over the Cuckoo's Nest,4.256944444444445,144,"[{'id': 18, 'name': 'Drama'}]",4.197826325475475
14,American Beauty,4.236363636363636,220,"[{'id': 18, 'name': 'Drama'}]",4.197676966092916
1891,The Empire Strikes Back,4.232905982905983,234,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",4.196594061132184
11,Star Wars,4.221649484536083,291,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",4.192627411512005
1779,Roger & Me,4.392857142857143,42,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",4.191976965448172
389,12 Angry Men,4.304054054054054,74,"[{'id': 18, 'name': 'Drama'}]",4.190330265513213
1578,Raging Bull,4.35,50,"[{'id': 18, 'name': 'Drama'}]",4.18347195396269
598,City of God,4.297101449275362,69,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",4.177545525605481
213,North by Northwest,4.2701149425287355,87,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",4.175587330996494
155,The Dark Knight,4.235537190082645,121,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",4.168348754474996
762,Monty Python and the Holy Grail,4.224137931034483,145,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",4.168093247466136
654,On the Waterfront,4.448275862068965,29,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",4.168065073801178
77,Memento,4.2272727272727275,132,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",4.1659222972389625
289,Casablanca,4.235042735042735,117,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4.165836408458842
2493,The Princess Bride,4.208588957055214,163,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4.159424619884372
