date,n_ratings,avg_rating
1995-01-01,3,3.6666666666666665
1995-02-01,0,
1995-03-01,0,
1995-04-01,0,
1995-05-01,0,
1995-06-01,0,
1995-07-01,0,
1995-08-01,0,
1995-09-01,0,
1995-10-01,0,
1995-11-01,0,
1995-12-01,0,
1996-01-01,0,
1996-02-01,0,
1996-03-01,116,4.241379310344827
1996-04-01,225,3.8844444444444446
1996-05-01,749,3.6101468624833113
1996-06-01,828,3.5676328502415457
1996-07-01,546,3.4505494505494507
1996-08-01,683,3.5578330893118593
1996-09-01,715,3.5594405594405596
1996-10-01,883,3.737259343148358
1996-11-01,1063,3.4675446848541864
1996-12-01,424,3.6202830188679247
1997-01-01,1032,3.578488372093023
1997-02-01,592,3.543918918918919
1997-03-01,264,3.337121212121212
1997-04-01,282,3.74822695035461
1997-05-01,137,3.4306569343065694
1997-06-01,244,3.512295081967213
1997-07-01,169,3.8402366863905324
1997-08-01,0,
1997-09-01,67,3.91044776119403
1997-10-01,26,3.5384615384615383
1997-11-01,350,4.002857142857143
1997-12-01,126,3.6825396825396823
1998-01-01,36,4.138888888888889
1998-02-01,170,3.7294117647058824
1998-03-01,14,3.357142857142857
1998-04-01,233,3.8025751072961373
1998-05-01,4,4.5
1998-06-01,437,2.929061784897025
1998-07-01,42,3.4047619047619047
1998-08-01,110,4.154545454545454
1998-09-01,22,4.318181818181818
1998-10-01,434,3.9608294930875574
1998-11-01,14,3.7142857142857144
1998-12-01,309,3.365695792880259
1999-01-01,30,3.933333333333333
1999-02-01,1,5.0
1999-03-01,4,4.25
1999-04-01,0,
1999-05-01,18,4.111111111111111
1999-06-01,8,4.125
1999-07-01,222,3.644144144144144
1999-08-01,0,
1999-09-01,268,3.626865671641791
1999-10-01,2137,3.7239120262049603
1999-11-01,675,3.7333333333333334
1999-12-01,2533,3.681800236873273
2000-01-01,681,3.7151248164464024
2000-02-01,730,3.8753424657534246
2000-03-01,780,3.683333333333333
2000-04-01,1763,3.9977311401020987
2000-05-01,1290,3.4906976744186045
2000-06-01,1165,3.530472103004292
2000-07-01,400,4.0525
2000-08-01,1063,3.4948259642521164
2000-09-01,259,2.7644787644787643
2000-10-01,366,3.6065573770491803
2000-11-01,4067,3.6914187361691666
2000-12-01,1300,3.42
2001-01-01,1042,3.3502879078694816
2001-02-01,205,3.5902439024390245
2001-03-01,127,3.4015748031496065
2001-04-01,270,4.092592592592593
2001-05-01,123,3.4390243902439024
2001-06-01,849,3.4122497055359244
2001-07-01,594,3.6043771043771042
2001-08-01,487,3.213552361396304
2001-09-01,66,3.1515151515151514
2001-10-01,411,3.7469586374695862
2001-11-01,150,3.8733333333333335
2001-12-01,333,3.5525525525525525
2002-01-01,295,3.664406779661017
2002-02-01,533,3.4859287054409007
2002-03-01,216,3.5787037037037037
2002-04-01,1004,3.431274900398406
2002-05-01,178,3.0168539325842696
2002-06-01,223,3.4887892376681613
2002-07-01,181,3.591160220994475
2002-08-01,202,2.48019801980198
2002-09-01,401,3.169576059850374
2002-10-01,64,3.171875
2002-11-01,134,3.2388059701492535
2002-12-01,502,3.053784860557769
2003-01-01,42,3.4761904761904763
2003-02-01,369,3.4037940379403793
2003-03-01,638,3.25705329153605
2003-04-01,832,3.5492788461538463
2003-05-01,506,3.311264822134387
2003-06-01,200,3.6
2003-07-01,279,3.7007168458781363
2003-08-01,479,3.1774530271398747
2003-09-01,369,3.589430894308943
2003-10-01,155,3.490322580645161
2003-11-01,163,3.6809815950920246
2003-12-01,429,3.5652680652680653
2004-01-01,114,3.192982456140351
2004-02-01,496,3.222782258064516
2004-03-01,200,3.785
2004-04-01,87,3.235632183908046
2004-05-01,285,3.4280701754385965
2004-06-01,278,3.199640287769784
2004-07-01,503,3.030815109343936
2004-08-01,772,3.2040155440414506
2004-09-01,608,3.544407894736842
2004-10-01,780,3.710897435897436
2004-11-01,398,3.636934673366834
2004-12-01,140,3.335714285714286
